1,ТЦ ЕПІЦЕНТР-1,1,"пр-т Степана Бандери, 36-А",1,Київ
2,ТЦ ЕПІЦЕНТР-2,2,"пр-т Степана Бандери, 11-А",1,Київ
3,ТЦ ЕПІЦЕНТР-3,3,"Дніпровська наб., 13-В",1,Київ
4,ТЦ ЕПІЦЕНТР-4,4,"вул. Стартова, 9-А",2,Дніпро
5,ТЦ ЕПІЦЕНТР-5,5,"Запорізьке шосе, 62-К, 13-В",2,Дніпро
6,ТЦ ЕПІЦЕНТР-6,6,"Запорізьке шосе, 62-К",2,Дніпро
7,ТЦ ЕПІЦЕНТР-7,7,"вул. Батозька, 1-В",3,Винниця
8,ТЦ ЕПІЦЕНТР-8,8,"вул. 600-річчя, 17",3,Винниця
9,ТЦ ЕПІЦЕНТР-9,9,"вул. Богдана Хмельницького, 188-А",4,Львів
10,ТЦ ЕПІЦЕНТР-10,10,"вул. Городоцька, 302",4,Львів
11,ТЦ ЕПІЦЕНТР-11,11,"вул. Щирецька, 7",4,Львів
12,ТЦ ЕПІЦЕНТР-12,12,"пр-т Небесної Сотні, 2",5,Одеса
13,ТЦ ЕПІЦЕНТР-13,13,"Київське шосе, 41",6,Полтава
14,ТЦ ЕПІЦЕНТР-14,14,"вул. Героїв Праці, 9-А",7,Харків
15,ТЦ ЕПІЦЕНТР-15,15,"пр-т Юрія Гагаріна, 352",7,Харків
16,ТЦ ЕПІЦЕНТР-16,16,"вул. Євгена Котляра, 8/10-А",7,Харків
